Zustand Uhrzeit: 10:48:34: STR 5 | EIN 1 | BAU 0 | PAR 12 [STA 6] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:51:12: STR 4 | EIN 2 | BAU 0 | PAR 12 [STA 6] | AUS 0 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:51:22: STR 4 | EIN 2 | BAU 0 | PAR 12 [STA 6] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:51:23: STR 4 | EIN 1 | BAU 1 | PAR 12 [STA 6] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:51:24: STR 3 | EIN 1 | BAU 2 | PAR 12 [STA 6] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:51:25: STR 3 | EIN 0 | BAU 3 | PAR 12 [STA 6] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:51:43: STR 3 | EIN 0 | BAU 2 | PAR 13 [STA 5] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:51:44: STR 3 | EIN 0 | BAU 1 | PAR 14 [STA 4] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:51:45: STR 3 | EIN 0 | BAU 0 | PAR 15 [STA 3] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:51:59: STR 2 | EIN 1 | BAU 0 | PAR 15 [STA 3] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:57:56: STR 1 | EIN 2 | BAU 0 | PAR 15 [STA 3] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:58:36: STR 1 | EIN 2 | BAU 0 | PAR 14 [STA 3] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:39:03: STR 1 | EIN 2 | BAU 1 | PAR 13 [STA 3] | AUS 2 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:39:04: STR 1 | EIN 2 | BAU 2 | PAR 13 [STA 3] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:39:05: STR 1 | EIN 2 | BAU 3 | PAR 13 [STA 3] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:39:23: STR 1 | EIN 2 | BAU 2 | PAR 13 [STA 3] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:39:24: STR 1 | EIN 2 | BAU 1 | PAR 13 [STA 3] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:39:25: STR 1 | EIN 2 | BAU 0 | PAR 13 [STA 3] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:41:22: STR 1 | EIN 2 | BAU 0 | PAR 12 [STA 3] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:41:23: STR 1 | EIN 2 | BAU 1 | PAR 12 [STA 3] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:41:43: STR 1 | EIN 2 | BAU 0 | PAR 12 [STA 3] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:51:15: STR 1 | EIN 2 | BAU 0 | PAR 11 [STA 3] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:42:51: STR 1 | EIN 2 | BAU 1 | PAR 10 [STA 3] | AUS 2 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:42:52: STR 1 | EIN 2 | BAU 2 | PAR 10 [STA 3] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:42:53: STR 1 | EIN 2 | BAU 3 | PAR 10 [STA 3] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:43:11: STR 1 | EIN 2 | BAU 2 | PAR 10 [STA 3] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:43:12: STR 1 | EIN 2 | BAU 1 | PAR 10 [STA 3] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:43:13: STR 1 | EIN 2 | BAU 0 | PAR 10 [STA 3] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:58:30: STR 1 | EIN 2 | BAU 0 | PAR 9 [STA 3] | AUS 1 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:58:40: STR 1 | EIN 2 | BAU 0 | PAR 9 [STA 3] | AUS 1 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:58:41: STR 1 | EIN 1 | BAU 1 | PAR 9 [STA 3] | AUS 1 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:58:42: STR 1 | EIN 0 | BAU 2 | PAR 9 [STA 3] | AUS 1 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:59:01: STR 1 | EIN 0 | BAU 1 | PAR 10 [STA 2] | AUS 1 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
